22,178,3,197,6
19,181,4,196,18
28,172,4,196,47
20,180,5,195,48
22,178,8,192,12
25,175,1,199,17
10,190,4,196,292
11,189,2,198,2519
22,178,5,195,5
23,177,3,197,7
14,186,3,197,8
20,180,6,194,16
20,180,3,197,28
34,166,3,197,34
20,180,3,197,38
26,174,3,197,44
15,185,4,196,15
23,177,6,194,21
32,168,2,198,33
17,183,0,200,51
19,181,3,197,9
28,172,5,195,11
20,180,1,199,23
16,184,2,198,24
15,185,6,194,53
10,190,6,194,2993
18,182,5,195,14
17,183,5,195,26
19,181,8,192,30
15,185,2,198,41
10,190,5,195,1370
17,183,5,195,10
17,183,6,194,27
22,178,2,198,35
10,190,4,196,876
18,182,3,197,25
24,176,6,194,31
11,189,2,198,384
11,189,4,196,532
10,190,7,193,1271
15,185,2,198,4
27,173,2,198,20
19,181,1,199,39
20,180,4,196,46
10,190,5,195,1664
20,180,4,196,19
22,178,7,193,40
24,176,5,195,43
16,184,7,193,29
19,181,3,197,37
20,180,3,197,50
10,190,6,194,1196
15,185,4,196,42
10,190,10,190,130
24,176,3,197,45
11,189,3,197,845
18,182,2,198,22
20,180,3,197,36
24,176,2,198,49
10,190,0,200,2282
19,181,4,196,13
10,190,4,196,1853
10,190,1,199,2666
12,188,3,197,52
20,180,3,197,32
10,190,4,196,2369
11,189,9,191,400
10,190,2,198,281
200,0,200,0,1
